Operation;Scope;Exception Name;Prefix;Error Number;Description;Description;Source;Source;Source;Source
generate;CSourceFileExceptions<TemplateFileT>;ExCannotOpenFile;;1060;Cannot open template file: %1%;;addPath( getCurrentFileName());;;
generate;CSourceFileExceptions<TemplateFileT>;ExCannotReadFile;;1061;An error occured reading template file: %1%;;addPath( getCurrentFileName());;;
generate;CTargetFileExceptions<GeneratedFileT>;ExCannotOpenFile;;1070;Cannot open target file: %1%;;targetFileName;;;
generate;CTargetFileExceptions<GeneratedFileT>;ExCannotWriteToFile;;1071;An error occured writing to target file: %1%;;targetFileName;;;
generate;CTargetFileExceptions<IntermediateFileT>;ExCannotOpenFile;;1080;Cannot open intermediate file: %1%;;intermediateFileName;;;
generate;CTargetFileExceptions<IntermediateFileT>;ExCannotWriteToFile;;1081;An error occured writing to intermediate file: %1%;;intermediateFileName;;;
generate;FilesBinaryEqualExceptions;ExStreamBad;;1090;Failed to compare intermediate file '%1%' with target file '%2%';;intermediateFileName;targetFileName;;
generate;CGeneratorExceptions;ExFailedToDeleteTempFile;;1100;Failed to delete intermediate output file: %1%;;intermediateFileName;;;
generate;CGeneratorExceptions;ExFailedToDeleteOldTargetFile;;1101;Failed to delete old version of target file '%1%' for replacement with intermediate file.;;targetFileName;;;
generate;CGeneratorExceptions;ExCannotMoveIntermediateFile;;1102;Failed to move intermediate file '%1%' to target file '%2%';;intermediateFileName;targetFileName;;
generate;KeywordParameterParser;ExParameterStartExpected;%1%(%2%);1206;Parameter is missing or syntax is incorrect,  '[' is expected.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;KeywordParameterParser;ExParameterSeparatorExpected;%1%(%2%);1207;Less parameters then expected or syntax is incorrect, ',' is expected.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;KeywordParameterParser;ExParameterEndExpected;%1%(%2%);1208;More parameters then expected or syntax is incorrect, ']' is expected.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;KeywordParameterParser;ExParameterValueExpected;%1%(%2%);1209;Parameter value is missing or syntax is incorrect.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CProcessingLevelControlExceptions;ExPossibleInfiniteLoop;%1%(%2%);1250;Recursion exceeded the maximum of %3% levels while expanding macro.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();m_generator.getMaxNumberOfRecursionLevels();
generate;CTemplateLoaderExceptions;ExCyclicInclusion;%1%(%2%);1300;Cyclic inclusion detected.;;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;ParameterParser;ExMissingDelimiterInParameterDescription;;1400;Syntax bad for parameter option number %1%, expecting name=value but is: %2%;;(m_generator.getIndexOfLastProcessedParameter() + 1);parameters.at( m_generator.getIndexOfLastProcessedParameter());;
generate;CRegexMatchesConstraintExceptions;ExRegexSyntaxError;%1%(%2%);1500;Syntax error in regular expression.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CRegexReplaceConversionExceptions;ExRegexSyntaxError;%1%(%2%);1500;Syntax error in regular expression.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CTemplatePreprocessorExceptions;ExPrefixLeadingWhiteSpace;%1%(%2%);1602;Leading white space for markup prefix is not allowed.;;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CTemplatePreprocessorExceptions;ExPostfixTrailingWhiteSpace;%1%(%2%);1603;Trailing white space for markup postfix is not allowed.;;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CTemplatePreprocessorExceptions;ExBadlyPlacedTrim;%1%(%2%);1604;TRIM is expected at the end of a line. Trailing whitespace is allowed.;;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CTemplatePreprocessorExceptions;ExBadlyPlacedComment;%1%(%2%);1605;COMMENT is expected at the beginning of a line. Leading whitespace is allowed.;;addPath( getCurrentFileName());getCurrentLineNumber();;
unloadTable;CGeneratorExceptions;ExFailedToUnloadTable;;1700;A table entry with the specified label '%1%' does not exist.;;label;;;
unloadTable;CMacroProcessorExceptions;ExTableNotFound;;1701;A table entry with the specified label '%1%' does not exist.;;label;;;
generate;CParserExceptions;ExMissingBlockBegin;%1%(%2%);1801;Missing begin block marker.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExMissingMacroBegin;%1%(%2%);1802;Missing begin macro marker.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExMissingBlockEnd;%1%(%2%);1803;Missing block end marker.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExMissingMacroEnd;%1%(%2%);1804;Missing macro end marker.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExUnexpectedKeyword;%1%(%2%);1810;Syntax error. Unexpected keyword found.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExUnexpectedEndOfMacro;%1%(%2%);1805;Unexpected end of macro.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExDirectiveAlreadyApplied;%1%(%2%);1820;Directive has been applied already.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExConstraintExpectedAfterNot;%1%(%2%);1821;Constraint following not expected.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExSubstitutionExpectedAfterIf;%1%(%2%);1822;Substitution following if expected.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExCannotApplyDirectiveToSubstitution;%1%(%2%);1823;Directive cannot be applied to this substitution.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExCannotApplyDirectiveToConstraint;%1%(%2%);1824;Directive cannot be applied to this constraint.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExCannotApplyDirectiveToConversion;%1%(%2%);1825;Directive cannot be applied to this conversion.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExCannotApplyConstraintToSubstitution;%1%(%2%);1826;Constraint cannot be applied to this substitution.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExCannotApplyConversionToSubstitution;%1%(%2%);1827;Conversion cannot be applied to this substitution.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExSubstitutionParsingBadOrder;%1%(%2%);1828;Extensions fo a substitution are expected in the order directives, constraints, conversions.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExSubstitutionRequiresIf;%1%(%2%);1829;Substitution requires if.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;
generate;CParserExceptions;ExMacroTooLarge;%1%(%2%);1830;The macro exceeds the maximum allowed size of %3% kb. This error can be caused by a too large text line or by a missing macro end marker. The text compiler is not designed to handle very large text lines efficiently.;;addPath( getCurrentFileName());getCurrentLineNumber();(m_generator.getMaxMacroTextSizeBytes() / 1024);
generate;CMacroExpanderExceptions;ExErrorTagExpanded<StringT>;%1%(%2%);1900;Error tag triggered: %3%;;addPath( getCurrentFileName());getCurrentLineNumber();e.getMessage();
